Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2023-11-06,350.58074951171875,351.57390571697306,347.45381988578487,347.5521572342444,23828300
2023-11-07,354.5140075683594,356.41179538181575,351.66240447944193,353.40285853517474,25833900
2023-11-08,357.1394348144531,357.798237980275,354.5336303274662,355.64477925814185,26767800
2023-11-09,354.6712951660156,358.7028859089797,354.3467849553374,356.2544152579837,24847300
2023-11-10,363.5014953613281,363.92431294177396,355.04499371068613,355.45796855398606,28042100
2023-11-13,360.56134033203125,362.3214796716584,359.79435710159004,362.0756513284613,19986500
2023-11-14,364.0914611816406,365.7434505878538,361.22020270558585,364.8191335420203,27683900
2023-11-15,364.2392578125,367.64841915601704,361.71683864791095,365.8255911591098,26860100
2023-11-16,370.6437683105469,370.8211167467286,364.74174586188934,365.51028582126,27182300
2023-11-17,364.4165954589844,368.8701819959366,361.60845836518695,368.12133741912425,40157000
2023-11-20,371.8951110839844,373.304096039392,365.54971735826314,365.766486587499,52465100
2023-11-21,367.58935546875,370.6930738149233,365.6679902657953,370.1511657162715,28423100
2023-11-22,372.2990417480469,374.2105437680483,369.4613467876635,372.44683209614044,23345300
2023-11-24,371.88525390625,372.41732930761407,369.6289174288519,371.786716969812,10176600
2023-11-27,373.0479431152344,375.0481498793526,370.673374141055,371.24484030990743,22179200
2023-11-28,377.0778503417969,377.3734310799554,372.60453806574077,372.79174922299154,20453100
2023-11-29,373.2843933105469,378.654310364066,371.89510374186113,378.122265050378,28963400
2023-11-30,373.343505859375,374.5061634778247,369.9540398668522,372.9296627723548,30554400
2023-12-01,369.0081481933594,372.6045206628206,365.85514681042775,371.22509383375666,33040500
2023-12-04,363.717041015625,364.0914332416113,357.568691355028,363.6776202294819,32063300
2023-12-05,367.04736328125,367.59913401406357,360.2487359832438,361.0665594377977,23065000
2023-12-06,363.38201904296875,368.6829873224875,362.6233417878435,368.05240507377636,21182100
2023-12-07,365.5004577636719,365.99311236097066,360.93847138160504,362.82041555159645,23118900
